اسم الصنف,سعر البيع,السعر الاصلي
سكر,27,30
جبنة روتس 500 جم,42,45
جبنة عبورلاند 500 جم,42,45
جبنة المراعي 500 جم,40,43
جبنة دومتي 500 جم,40,42
جبنة رودس 250 جم,22,25
جبنة المراعي 250 جم,20,23
جبنة دومتي 250 جم,20,22
شاي العروسة 40 جم,10,11
شاي العروسة 100 جم,23,25
شاي العروسة 250 جم,55,58
شاي ليبتون 40 جم,12,13
شاي ليبتون 250 جم,55,60
شاي العروسة خرز 250 جم,85,90
شاي ليبتون خرز 250 جم,75,85
شاي الكابوس 250 جم,85,80
شاي ليبتون 25 فتلة,35,37
شاي ليبتون اخضر 25 فتلة,40,42
شاي العروسة 100 فتلة,65,70
شاي ليبتون 100 فتلة,120,125
حليب المراعي 1 لتر,50,55
خل عادي 1 لتر,5,
زيت شطارة 800 جم,53,55
زيت صولو 900 جم,60,65
زيت الممتاز 1 لتر,60,70
زيت السلطان 950 جم,60,65
سمنة جنة 1 كجم,80,85
سمنة روابي 1 كجم,80,85
خل هارفست 1 لتر,15,20
زيت شطارة 1 لتر,65,70
زيت الممتاز 2.5 لتر,175,180
زيت كريستال درة 2.5 لتر,150,155
زيت كريستال درة 800 جم,85,90
زيت كريستال عباد 800 جم,75,80
زيت عافية درة 1 لتر,85,90
زيت عافية درة 2.5 لتر,240,245
زيت كريستال عباد 1 لتر,75,80
زيت سلايت عباد 800 جم,70,75
سمنة جنة ظرف 400 جم,40,45
سمنة روابي ظرف 400 جم,40,45
سمنة كريستال ظرف 400 جم,40,45
سمنة روتانا 1 كجم,350,360
سمنة اصل الحلوب 1 لتر,100,105
سمنة جنة 2 كجم,155,160
سمنة روابي 2 كجم,155,160
سمنة كريستال 2 كجم,155,160
سمنة روابي 3 كجم,250,255
سمنة جنة 3 كجم,250,255
سمنة روتانا 2 كجم,690,700
سمنة اصل الحلوب 2 كجم,180,190
سمنة روابي 5 كجم,410,420
سمنة جنة 5 كجم,410,420
سمنة كريستال 5 كجم ,410,420
جبنة الطارق صفيحة 1 كجم,155,160
مربي فيتراك 3 كجم,220,230
حلاوة طحينية القدس 1 كجم,80,90
شوكولاته ماكس تيلا 1 كجم,125,130
شوكولاته يوتيلا 1 كجم,135,140
شوكولاته سما 1 كجم,150,155
عسل أسود البوادي 500 جم,25,27
عسل أسود البوادي 1 كجم,45,47
حلاوة طحينية البوادي 1 كجم,90,92
حلاوة طحينية البوادي 1.5 كجم,115,117
حلاوة طحينية حلواني 500 جم,38,40
حلاوة طحينية حلواني 1 كجم,75,79
فول امريكاني علبة,17,18
بلوبيف مصري علبة,45,50
بلوبيف مستورد,100,120
سردين مغربي,30,35
تونة مفتتة,25,30
تونة شطة,30,35
تونة قطع,40,45
تونة دولفن قطع,50,55
تونة دولفن قطعة واحدة ,60,65
تونة صن شاين قطع,65,70
تونة صن شاين قطعة واحدة ,70,75
عسل نحل 250 جم,30,35
عسل نحل 500 جم,60,65
شربات فراولة فيتراك,70,75
شربات نعناع فيتراك,110,115
عسل هيرو 1 كجم,150,155
زبدة فول سوداني 450 جم,100,105
مربي فيتراك 250 جم,25,22
مربي فيتراك 500 جم,40,42
مربي فيتراك 1 كجم,70,75
مربي فيتراك بلح 500 جم,45,50
مربي فيتراك جزر 500 جم,45,50
مربي حلواني 500 جم,35,37
مربي حلواني 1 كجم,60,64
مربي الممتاز 1 كجم,40,45
مربي الممتاز 500 جم,20,22
مكرونة الملكة 400 جم,13.5,15
مكرونة الملكة 1 كجم,32,35
